snapshot_date,account_id,customer_id,account_type,product_name,opened_date,status,balance,credit_limit,interest_rate,daily_net_amount,daily_txn_count
2025-08-01,ACC0000000046,CUST0000025,LOAN,KPR Rumah,2024-07-01,ACTIVE,0.00,,0.0893,0.00,0
2025-08-01,ACC0000000075,CUST0000039,CREDIT_CARD,Kartu Classic,2022-12-06,ACTIVE,0.00,32112556.50,0.023,-1069658.04,2
2025-08-01,ACC0000000539,CUST0000271,INVESTMENT,Reksa Dana,2024-11-05,ACTIVE,0.00,,0.0678,-1989366.87,3
2025-08-01,ACC0000000845,CUST0000420,CREDIT_CARD,Kartu Platinum,2023-03-07,SUSPENDED,0.00,27992962.13,0.0958,0.00,0
2025-08-01,ACC0000001335,CUST0000671,LOAN,KTA Personal,2023-08-11,ACTIVE,0.00,,0.0232,-1209210.11,2
2025-08-01,ACC0000001344,CUST0000675,LOAN,Kredit Kendaraan,2024-11-04,ACTIVE,0.00,,0.1319,0.00,0
2025-08-01,ACC0000001628,CUST0000820,SAVINGS,Tabungan Berjangka,2024-10-16,ACTIVE,10888603.30,,0.0301,0.00,0
2025-08-01,ACC0000001719,CUST0000867,LOAN,KTA Personal,2023-11-20,ACTIVE,0.00,,0.0358,3716735.53,1
2025-08-01,ACC0000002141,CUST0001077,LOAN,KPR Rumah,2021-10-14,ACTIVE,0.00,,0.1424,0.00,0
2025-08-01,ACC0000002252,CUST0001130,SAVINGS,Tabungan Negara Plus,2021-02-20,ACTIVE,30317870.66,,0.1065,2125440.79,1
2025-08-01,ACC0000002262,CUST0001134,SAVINGS,Tabungan Haji,2024-03-24,ACTIVE,48931421.39,,0.1368,8745837.59,3
2025-08-01,ACC0000002666,CUST0001343,LOAN,KPR Rumah,2021-12-26,ACTIVE,0.00,,0.0239,-7684710.25,2
2025-08-01,ACC0000002706,CUST0001366,SAVINGS,Tabungan Negara Plus,2022-06-16,ACTIVE,44497474.40,,0.0932,0.00,0
2025-08-01,ACC0000002798,CUST0001412,SAVINGS,Tabungan Negara Plus,2024-11-04,DORMANT,17638012.50,,0.0279,0.00,0
2025-08-01,ACC0000002808,CUST0001418,SAVINGS,Tabungan Haji,2024-06-04,ACTIVE,44816334.38,,0.0366,0.00,0
2025-08-01,ACC0000002989,CUST0001507,LOAN,Kredit Kendaraan,2024-01-20,ACTIVE,0.00,,0.0851,4806317.45,2
2025-08-01,ACC0000003008,CUST0001516,CREDIT_CARD,Kartu Classic,2022-01-14,ACTIVE,0.00,21071222.92,0.0888,-373270.32,3
2025-08-01,ACC0000003343,CUST0001681,SAVINGS,Tabungan Haji,2021-12-11,DORMANT,24050624.89,,0.1089,0.00,0
